"","date","aal","amgn","bhp","bidu","biib","BRK-B","cmcsa","cmg","cop","cost","crm","ebay","gild","gld","gsk","KO","mrk","nke","orcl","pep","qcom","tm","TSM","uso","v","xlf"
"2816","2020-07-17",0.00017852312682658,0.00020272904222605,9.76674779321748e-05,0.000168155299095829,1.66603720877527e-05,6.92080227724286e-06,2.06473195341423e-05,6.32080551368598e-05,8.50070481277003e-05,0.000240828224509909,6.8395362252824e-05,2.32674852180678e-05,1.74753580221257e-05,5.10162242278589e-05,0.000203583089336624,0.000250366687209352,4.55054636939452e-05,0.000623205881396115,0,0.000122007021547474,7.89824220392342e-05,0.000139435524049494,3.44139024742714e-05,3.13751127610001e-05,7.77138786572506e-05,0
"2817","2020-07-20",0.000115529196941404,0.000203001546709887,0.000102289023107973,0.000168087780642549,3.73376975292054e-05,6.92080227724286e-06,3.75244139283599e-06,6.32080551368598e-05,3.26735337963725e-05,0.000183717708522891,4.3146774956723e-05,5.56330709944371e-06,1.74753580221257e-05,5.19074451985284e-05,9.33354907426857e-05,0.000276881211967117,4.55054636939452e-05,0.000604184046843691,2.06895974982252e-05,5.51441301582603e-05,9.19152545000432e-05,0.000163550010862887,3.44139024742714e-05,3.13751127610001e-05,7.77138786572506e-05,0.000259486893853328
"2818","2020-07-21",7.93081001747e-05,0.000203001546709887,0.000240249142439073,0.000232241003581765,5.12396423991247e-05,8.41045699711555e-06,3.75244139283599e-06,6.57569961639393e-05,3.26735337963725e-05,0.000146818995299845,0.00010599656031933,1.46742977082704e-06,1.74753580221257e-05,5.19074451985284e-05,3.60111335392755e-05,0.000276881211967117,7.95806885109591e-05,0.000580760737996468,2.06895974982252e-05,5.51441301582603e-05,4.14746745123583e-05,0.000138263212316305,7.31638760715826e-05,1.3682067666945e-05,7.77138786572506e-05,1.00566108111449e-05
"2819","2020-07-22",8.21505629642881e-05,0.00020272904222605,6.96969807693705e-05,0.000232241003581765,3.96399213749957e-05,1.36600825441973e-05,3.75244139283599e-06,4.13452225718603e-05,7.99233418492951e-05,7.55258005330074e-05,0.000104277341947822,8.79958035531717e-06,1.74753580221257e-05,4.49987971431004e-05,3.60089314595403e-05,0.000276881211967117,5.761690234849e-05,0.000580760737996468,2.06895974982252e-05,5.19756398018026e-05,1.59837786255486e-05,0.000194286506470146,0.000140100428707212,2.58845963740993e-05,7.77138786572506e-05,8.56367472626948e-05
"2820","2020-07-23",0.000140563459634506,0.000136692850120927,6.96969807693705e-05,0.00019493330407512,9.43324004391227e-05,8.78789568908367e-06,3.75244139283599e-06,3.2161174002347e-05,0.000263364830680385,6.64864966180013e-05,6.26933627070015e-05,8.79958035531717e-06,1.74753580221257e-05,4.39677610500563e-05,0,0.000151063178048457,6.03696553645383e-05,0.000580760737996468,2.06895974982252e-05,5.19756398018026e-05,7.36225832692637e-06,0.000196425549469842,0.000140100428707212,2.2128017002248e-05,6.3964055897535e-05,0.000103047784395726
"2821","2020-07-24",0.000139669119974444,0.000136598869933663,6.96969807693705e-05,0.000193507754809014,9.45651556238592e-05,5.21162364425825e-05,1.88098410538243e-05,1.47583194611255e-05,0.000272365464152362,6.6571513321144e-05,6.54708701953045e-05,8.79958035531717e-06,2.0214018245446e-05,4.37801530729646e-05,0,0.000243410466190469,3.00381304020771e-05,0.000347937386051851,2.06895974982252e-05,2.26627006157483e-05,1.68076726184149e-05,0.000196425549469842,0.00011947877368858,4.32414082023403e-05,6.41862273573463e-05,0.000307523183081096
"2822","2020-07-27",0.000143929026770605,0.000136598869933663,0.000125591528424747,0.000193507754809014,9.26254762164155e-05,5.21162364425825e-05,1.88098410538243e-05,3.52660987435851e-06,0.000207233106526074,6.6136074799042e-05,6.53683551141092e-05,8.79958035531717e-06,2.0214018245446e-05,6.39414705504318e-05,4.81743590409259e-05,0.000267185603134132,3.18932849829387e-05,0.000371395111895214,2.06895974982252e-05,2.81076910368878e-05,1.6417284424938e-05,0.000196425549469842,0.000119525772661287,0.000233571242890286,0.000101702880126261,0.000307523183081096
"2823","2020-07-28",0.000140814683098747,3.97981480666109e-05,0.000123699113112078,0.000193507754809014,9.26254762164155e-05,5.21162364425825e-05,1.88098410538243e-05,3.52660987435851e-06,0.000207233106526074,5.35918970361882e-05,5.09746323933209e-05,9.03369634730741e-06,2.29400504279321e-05,6.39414705504318e-05,8.87114054636686e-05,0.00012222879936333,0.000101353880029814,0.000333376377227947,0,7.19550118587729e-05,1.6417284424938e-05,0.000196425549469842,0.000129774549366399,4.3329563770081e-05,0.000101702880126261,0.000314496058907917
"2824","2020-07-29",0.000140814683098747,4.18281407363407e-05,0.000165300902159817,0.000185415217112545,9.66739528832749e-05,5.21162364425825e-05,1.88098410538243e-05,0.000118376435591946,0.000185602657315723,5.35918970361882e-05,8.61625219655794e-05,9.03369634730741e-06,1.21577130688913e-05,6.39414705504318e-05,5.91783771209056e-05,0.000120191716061156,0.00010435537822911,0.000364238515924826,0,0.00011588159883058,3.47195976930672e-06,0.000196425549469842,0.000129774549366399,4.3329563770081e-05,0.000101702880126261,0.000314496058907917
"2825","2020-07-30",4.12134559689281e-05,0.000114887000011242,0.000124084840238707,0.000150273351243104,9.66739528832749e-05,5.21162364425825e-05,1.88098410538243e-05,0.000131669868804517,4.06827343924808e-05,0.000175868859544117,8.59844658513348e-05,9.2432544553965e-06,1.01596454478367e-05,2.70805800309332e-05,5.91783771209056e-05,9.58663722359467e-05,0.000108351628221609,0.000191530419386998,3.17456849279636e-05,0.000112859187754593,3.47195976930672e-06,0.000193495314721289,0.000129774549366399,4.3329563770081e-05,0.000111227895988694,0.000314619848988186
"2826","2020-07-31",0.000184653608030288,7.53407504414453e-05,0.000124084840238707,0.000150273351243104,9.66739528832749e-05,5.21162364425825e-05,1.88098410538243e-05,9.12101354471843e-06,6.89936331098768e-06,9.86614742795529e-05,0.000106379847201083,5.73714219386143e-05,1.75023136943743e-05,0.000209314793734384,5.00619191349687e-05,9.54718405178477e-05,0.000102565695277615,0.00024857984316655,3.17456849279636e-05,8.5898580726469e-05,1.0623180491085e-06,5.4942163650166e-05,0.000140559900846577,6.8425436041531e-05,0.000111227895988694,0.000307523183081096
"2827","2020-08-03",0.000185139050991745,7.67833364044691e-05,0.000125251644476046,0.00015540093509927,9.26254762164155e-05,5.21162364425825e-05,5.23427832729082e-05,6.34789872671621e-06,0.000129969122845832,9.51203815640148e-05,0.00010363699882938,5.73347140819209e-05,1.75023136943743e-05,0.000210110352935798,0.000253672572830964,9.54718405178477e-05,5.13756859947847e-05,0.000290070672881358,0,8.5898580726469e-05,2.69533550265455e-06,5.63819905856814e-05,0.000140612602977603,6.30944261388779e-05,7.84094433245389e-05,0.000133489080311081
"2828","2020-08-04",1.41457763824266e-05,0.000126706381760072,8.02077893431318e-05,4.81854196581173e-05,9.26254762164155e-05,5.21162364425825e-05,5.57250708652261e-05,2.19766664312244e-05,0.000110266062484496,9.51203815640148e-05,0.000108099294360322,0.000113663754076038,1.8629118807678e-05,0.000210110352935798,0.000253672572830964,9.54718405178477e-05,7.26794434759439e-05,0.000365210021784914,3.30280309727815e-06,8.5898580726469e-05,1.0623180491085e-06,5.63819905856814e-05,0.000140612602977603,0.000132180569419339,0.000128818921527315,0.00013057213472455
